ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
-0.0036,0.0331,0.043981,0.685525,0.37867,-0.001,0.0089,0.0063,0,0.062601,-0.007182
0.0061,0.0333,0.044582,0.678182,0.386077,-0.0015,0.0087,0.0007,-0.011561,0.055173,-0.012549
0.0045,0.0327,0.045771,0.671198,0.363255,-0.001,0.0086,-0.0004,0,0.054364,0.105752
-0.0004,0.0362,0.041647,0.663917,0.368095,-0.0043,0.0087,0.0018,0,0.049372,0.034725
-0.0077,0.039,0.040673,0.657365,0.354397,-0.0063,0.0093,-0.0001,0.005848,0.047187,0.012325
0.0041,0.0392,0.0405,0.650602,0.3703,-0.0066,0.0098,-0.0065,-0.005814,0.050299,-0.03433
-0.0217,0.0412,0.042559,0.644085,0.360648,-0.0068,0.0097,0.0207,0,0.05938,0.010117
0.0076,0.0436,0.042373,0.638217,0.32403,-0.0095,0.0097,0.0007,0,0.057399,0.07023
-0.0041,0.0457,0.03977,0.632622,0.328166,-0.0111,0.0098,0.0071,0.011696,0.02798,0.022409
0.0158,0.047,0.039153,0.626742,0.308931,-0.0134,0.0097,-0.0075,-0.00578,0.034019,0.013839
0.0003,0.0426,0.038898,0.621444,0.265526,-0.0088,0.0097,-0.0039,0,0.038372,0.122975
0.0004,0.0426,0.035008,0.615942,0.259667,-0.0086,0.0099,0.008,-0.005814,0.063069,0.006232
-0.009,0.0466,0.035318,0.614725,0.245347,-0.0117,0.0101,0.0133,0,0.078449,0.055473
-0.0157,0.0439,0.0338,0.61354,0.245424,-0.0076,0.01,0.0187,0,0.071783,-0.004874
-0.0144,0.046,0.034388,0.611961,0.2723,-0.0083,0.0109,0.0057,-0.005848,0.079805,0.000154
0.0275,0.048,0.034861,0.610844,0.263397,-0.0122,0.0111,-0.0256,-0.005882,0.099323,0.019559
-0.0162,0.0509,0.034695,0.609756,0.282775,-0.0136,0.011,0.0207,0.005917,0.117987,-0.041281
0.011,0.048,0.036649,0.608696,0.253581,-0.0113,0.0117,-0.0156,0.005882,0.116197,0.112294
